year,ic,name,companyId,address,share
2021,71339973,,,,
2021,00496936,"FUTURA, a.s.",16192893.0,"Politických vězňů 9, 111 21 Praha 1",92.0
2021,03152952,,,,
2021,71339582,,,,
2021,49628089,,,,
2021,60456400,,,,
2021,07157029,,,,
2021,26598647,,,,
2021,03254747,,,,
2021,44266740,,,,
2021,60556625,,,,
2021,07027761,,,,
2021,07286210,,,,
2021,07312946,,,,
2021,71443452,,,,
2021,09340718,,,,
2021,60458399,,,,
2021,71339779,,,,
2021,27034500,,,,
2021,71443649,,,,
2021,27053024,,,,
2021,71443584,,,,
2021,03174697,,,,
2021,03016242,,,,
2021,26668980,,,,
2021,16192656,Adved s.r.o.,28925009.0,"Truhlářská 1106/9, Nové Město, 110 00 Praha1",50.0
2021,06860176,,,,
2021,03099598,,,,
2021,71443517,,,,
2021,03221083,,,,
2021,71443215,,,,
2021,09363149,,,,
2021,71443681,,,,
2021,03080935,,,,
2021,71339698,1. Pirátská s.r.o.,6194559.0,"Na Moráni 360/3, Nové Město, 128 00 Praha 2",100.0
2021,03170624,,,,
2021,08960909,,,,
2021,71443550,,,,
2021,02885573,,,,
2021,03204669,,,,
2021,10742409,,,,
2021,27038131,,,,
2021,03091805,,,,
2021,03254763,,,,
2021,71443380,,,,
2021,26595940,,,,
2021,27026922,,,,
2021,06695205,,,,
2021,71443347,,,,
2021,71339485,,,,
2021,07218443,,,,
2021,71339990,,,,
2021,70869553,,,,
2021,05081068,,,,
2021,11661704,,,,
2021,00409171,"Cíl, akciová společnost v Praze",26165376.0,"Hybernská 1033/7, 11000 Praha 1",100.0
2021,03116603,,,,
2021,71339655,,,,
2021,03217116,,,,
2021,07118317,,,,
2021,03221199,,,,
2021,71339752,,,,
2021,71339922,,,,
2021,26673908,BeSTAN s.r.o.,10824120.0,"Praha - Malá Strana, Malostranské náměstí 266/5, PSČ 118 00",100.0
2021,71443444,,,,
2021,71340009,,,,
2021,71339612,,,,
2021,03251501,,,,
2021,71443177,,,,
2021,26582406,,,,
2021,03143848,,,,
2021,71339728,,,,
2021,02749947,,,,
2021,07986858,,,,
2021,02790840,,,,
2021,68954263,,,,
2021,07195389,,,,
2021,71443355,,,,
2021,07301600,,,,
2021,71339892,,,,
2021,04616421,,,,
2021,71339817,,,,
2021,27040097,,,,
2021,07324758,,,,
2021,04997808,,,,
2021,03247686,,,,
2021,08773297,,,,
2021,71340084,,,,
2021,00409740,,,,
2021,68684011,,,,
2021,07156871,,,,
2021,71443363,,,,
2021,71339850,,,,
2021,07202059,,,,
2021,03136922,,,,
2022,17262984,,,,
2022,05402450,,,,
2022,14369664,,,,
2022,04627695,,,,
2022,71443339,,,,
2022,71443274,,,,
2022,07289731,,,,
2022,05989175,,,,
2022,14179792,,,,
2022,26587840,,,,
2022,05103487,,,,
2022,14334887,,,,
2022,05754577,,,,
2022,03094553,,,,
2022,00442721,,,,
2022,71443207,,,,
2022,71443240,,,,
2022,07972733,,,,
2022,09977023,,,,
