year,ic,key,description,amount
2017,26592118,3c,volba prezidenta republiky,0.0
2017,26592118,3d,volby do zastupitelstev krajů,0.0
2017,26592118,3e,volby do zastupitelstev obcí,0.0
2017,26592118,3f,volby do Evropského parlamentu,0.0
2017,15271960,1,Mzdové výdaje,0.0
2017,15271960,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,15271960,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,15271960,3b,volby do Senátu Parlamentu ČR,0.0
2017,15271960,3c,volba prezidenta republiky,0.0
2017,15271960,3d,volby do zastupitelstev krajů,0.0
2017,15271960,3e,volby do zastupitelstev obcí,0.0
2017,15271960,3f,volby do Evropského parlamentu,0.0
2017,71339973,1,Mzdové výdaje,0.0
2017,71339973,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",11645.0
2017,71339973,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71339973,3b,volby do Senátu Parlamentu ČR,0.0
2017,71339973,3c,volba prezidenta republiky,0.0
2017,71339973,3d,volby do zastupitelstev krajů,0.0
2017,71339973,3e,volby do zastupitelstev obcí,0.0
2017,71339973,3f,volby do Evropského parlamentu,0.0
2017,00496936,1,Mzdové výdaje,51836487.0
2017,00496936,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",1768024.0
2017,00496936,3a,volby do Poslanecké sněmovny Parlamentu ČR,28825035.0
2017,00496936,3b,volby do Senátu Parlamentu ČR,138708.0
2017,00496936,3c,volba prezidenta republiky,0.0
2017,00496936,3d,volby do zastupitelstev krajů,0.0
2017,00496936,3e,volby do zastupitelstev obcí,0.0
2017,00496936,3f,volby do Evropského parlamentu,0.0
2017,03152952,1,Mzdové výdaje,0.0
2017,03152952,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",56061.0
2017,03152952,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03152952,3b,volby do Senátu Parlamentu ČR,0.0
2017,03152952,3c,volba prezidenta republiky,0.0
2017,03152952,3d,volby do zastupitelstev krajů,0.0
2017,03152952,3e,volby do zastupitelstev obcí,0.0
2017,03152952,3f,volby do Evropského parlamentu,0.0
2017,71443606,1,Mzdové výdaje,0.0
2017,71443606,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",54840.0
2017,71443606,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71443606,3b,volby do Senátu Parlamentu ČR,0.0
2017,71443606,3c,volba prezidenta republiky,0.0
2017,71443606,3d,volby do zastupitelstev krajů,0.0
2017,71443606,3e,volby do zastupitelstev obcí,0.0
2017,71443606,3f,volby do Evropského parlamentu,0.0
2017,68455941,1,Mzdové výdaje,20000.0
2017,68455941,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,68455941,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,68455941,3b,volby do Senátu Parlamentu ČR,0.0
2017,68455941,3c,volba prezidenta republiky,0.0
2017,68455941,3d,volby do zastupitelstev krajů,0.0
2017,68455941,3e,volby do zastupitelstev obcí,0.0
2017,68455941,3f,volby do Evropského parlamentu,0.0
2017,26598647,1,Mzdové výdaje,0.0
2017,26598647,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",2674.0
2017,26598647,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,26598647,3b,volby do Senátu Parlamentu ČR,0.0
2017,26598647,3c,volba prezidenta republiky,0.0
2017,26598647,3d,volby do zastupitelstev krajů,0.0
2017,26598647,3e,volby do zastupitelstev obcí,0.0
2017,26598647,3f,volby do Evropského parlamentu,0.0
2017,03254747,1,Mzdové výdaje,0.0
2017,03254747,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",5723.0
2017,03254747,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03254747,3b,volby do Senátu Parlamentu ČR,0.0
2017,03254747,3c,volba prezidenta republiky,0.0
2017,03254747,3d,volby do zastupitelstev krajů,0.0
2017,03254747,3e,volby do zastupitelstev obcí,0.0
2017,03254747,3f,volby do Evropského parlamentu,0.0
2017,44266740,1,Mzdové výdaje,0.0
2017,44266740,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.28
2017,44266740,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,44266740,3b,volby do Senátu Parlamentu ČR,0.0
2017,44266740,3c,volba prezidenta republiky,0.0
2017,44266740,3d,volby do zastupitelstev krajů,0.0
2017,44266740,3e,volby do zastupitelstev obcí,0.0
2017,44266740,3f,volby do Evropského parlamentu,0.0
2017,60556625,1,Mzdové výdaje,0.0
2017,60556625,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,60556625,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,60556625,3b,volby do Senátu Parlamentu ČR,0.0
2017,60556625,3c,volba prezidenta republiky,0.0
2017,60556625,3d,volby do zastupitelstev krajů,0.0
2017,60556625,3e,volby do zastupitelstev obcí,0.0
2017,60556625,3f,volby do Evropského parlamentu,0.0
2017,71443452,1,Mzdové výdaje,0.0
2017,71443452,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,71443452,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71443452,3b,volby do Senátu Parlamentu ČR,0.0
2017,71443452,3c,volba prezidenta republiky,0.0
2017,71443452,3d,volby do zastupitelstev krajů,0.0
2017,71443452,3e,volby do zastupitelstev obcí,0.0
2017,71443452,3f,volby do Evropského parlamentu,0.0
2017,00409421,1,Mzdové výdaje,0.0
2017,00409421,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",2000.0
2017,00409421,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,00409421,3b,volby do Senátu Parlamentu ČR,450000.0
2017,00409421,3c,volba prezidenta republiky,0.0
2017,00409421,3d,volby do zastupitelstev krajů,0.0
2017,00409421,3e,volby do zastupitelstev obcí,0.0
2017,00409421,3f,volby do Evropského parlamentu,0.0
2017,60458399,1,Mzdové výdaje,0.0
2017,60458399,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",184296.0
2017,60458399,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,60458399,3b,volby do Senátu Parlamentu ČR,0.0
2017,60458399,3c,volba prezidenta republiky,0.0
2017,60458399,3d,volby do zastupitelstev krajů,0.0
2017,60458399,3e,volby do zastupitelstev obcí,0.0
2017,60458399,3f,volby do Evropského parlamentu,0.0
2017,71339779,1,Mzdové výdaje,0.0
2017,71339779,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",75224.0
2017,71339779,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71339779,3b,volby do Senátu Parlamentu ČR,0.0
2017,71339779,3c,volba prezidenta republiky,0.0
2017,71339779,3d,volby do zastupitelstev krajů,0.0
2017,71339779,3e,volby do zastupitelstev obcí,0.0
2017,71339779,3f,volby do Evropského parlamentu,0.0
2017,27034500,1,Mzdové výdaje,0.0
2017,27034500,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",3138.0
2017,27034500,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,27034500,3b,volby do Senátu Parlamentu ČR,0.0
2017,27034500,3c,volba prezidenta republiky,0.0
2017,27034500,3d,volby do zastupitelstev krajů,0.0
2017,27034500,3e,volby do zastupitelstev obcí,0.0
2017,27034500,3f,volby do Evropského parlamentu,0.0
2017,03219208,1,Mzdové výdaje,0.0
2017,03219208,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",4894.0
2017,03219208,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03219208,3b,volby do Senátu Parlamentu ČR,0.0
2017,03219208,3c,volba prezidenta republiky,0.0
2017,03219208,3d,volby do zastupitelstev krajů,0.0
2017,03219208,3e,volby do zastupitelstev obcí,0.0
2017,03219208,3f,volby do Evropského parlamentu,0.0
2017,71443584,1,Mzdové výdaje,0.0
2017,71443584,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",22665.0
2017,71443584,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71443584,3b,volby do Senátu Parlamentu ČR,20000.0
2017,71443584,3c,volba prezidenta republiky,0.0
2017,71443584,3d,volby do zastupitelstev krajů,0.0
2017,71443584,3e,volby do zastupitelstev obcí,0.0
2017,71443584,3f,volby do Evropského parlamentu,0.0
2017,03174697,1,Mzdové výdaje,0.0
2017,03174697,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",12906.0
2017,03174697,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03174697,3b,volby do Senátu Parlamentu ČR,0.0
2017,03174697,3c,volba prezidenta republiky,0.0
2017,03174697,3d,volby do zastupitelstev krajů,0.0
2017,03174697,3e,volby do zastupitelstev obcí,0.0
2017,03174697,3f,volby do Evropského parlamentu,0.0
2017,03016242,1,Mzdové výdaje,0.0
2017,03016242,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",10550.0
2017,03016242,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03016242,3b,volby do Senátu Parlamentu ČR,0.0
2017,03016242,3c,volba prezidenta republiky,0.0
2017,03016242,3d,volby do zastupitelstev krajů,0.0
