year,ic,key,description,amount
2017,68321457,1,Příjmy celkem,45600.0
2017,68321457,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,68321457,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,68321457,4,Členské příspěvky,600.0
2017,68321457,5,"Dary, dědictví a bezúplatná plnění",45000.0
2017,68321457,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,68321457,7,Úroky z vkladů,0.0
2017,68321457,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,68321457,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,68321457,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,68321457,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,03174531,1,Příjmy celkem,22.0
2017,03174531,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,03174531,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,03174531,4,Členské příspěvky,3.0
2017,03174531,5,"Dary, dědictví a bezúplatná plnění",19.0
2017,03174531,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,03174531,7,Úroky z vkladů,0.0
2017,03174531,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,03174531,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,03174531,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,03174531,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
