year,ic,date,money,donor_key
2017,16192656,2017-09-08,20000.0,po.536
2017,16192656,2017-06-07,30000.0,po.536
2017,16192656,2017-06-01,20000.0,po.539
2017,16192656,2017-05-29,50000.0,po.540
2017,16192656,2017-08-28,0.0,po.541
2017,16192656,2017-06-05,20000.0,po.542
2017,16192656,2017-10-01,0.0,po.543
2017,16192656,2017-08-15,15000.0,po.544
2017,16192656,2017-01-20,0.0,po.545
2017,16192656,2017-05-29,30000.0,po.546
2017,16192656,2017-08-07,0.0,po.547
2017,16192656,2017-09-01,55000.0,po.548
2017,16192656,2017-08-07,200000.0,po.549
2017,16192656,2017-04-26,100000.0,po.550
2017,16192656,2017-08-01,300000.0,po.551
2017,16192656,2017-09-26,10000.0,po.552
2017,16192656,2017-10-12,10250.0,po.553
2017,16192656,2017-05-26,50000.0,po.554
2017,16192656,2017-08-29,0.0,po.555
2017,16192656,2017-10-11,0.0,po.556
2017,16192656,2017-09-21,0.0,po.557
2017,16192656,2017-08-16,10000.0,po.558
2017,16192656,2017-07-26,50000.0,po.559
2017,16192656,2017-08-07,30000.0,po.560
2017,16192656,2017-07-27,50000.0,po.561
2017,16192656,2017-08-08,50000.0,po.562
2017,16192656,2017-06-30,100000.0,po.563
2017,16192656,2017-10-25,10000.0,po.564
2017,16192656,2017-07-27,3500.0,po.565
2017,16192656,2017-06-23,50000.0,po.566
2017,16192656,2017-06-28,50000.0,po.96
2017,16192656,2017-08-22,50000.0,po.568
2017,16192656,2017-04-04,50000.0,po.569
2017,16192656,2017-08-29,0.0,po.570
2017,16192656,2017-01-03,24000.0,po.571
2017,16192656,2017-07-24,0.0,po.572
2017,16192656,2017-08-14,0.0,po.572
2017,16192656,2017-08-30,0.0,po.572
2017,16192656,2017-09-11,0.0,po.572
2017,16192656,2017-09-20,0.0,po.572
2017,16192656,2017-08-21,0.0,po.577
2017,16192656,2017-03-06,30000.0,po.578
2017,16192656,2017-09-04,0.0,po.579
2017,16192656,2017-05-03,50000.0,po.579
2017,16192656,2017-06-27,50000.0,po.579
2017,16192656,2017-05-15,10000.0,po.582
2017,16192656,2017-07-11,24000.0,po.582
2017,16192656,2017-10-06,0.0,po.584
2017,16192656,2017-02-10,10000.0,po.585
2017,16192656,2017-08-03,30000.0,po.586
2017,16192656,2017-09-06,5000.0,po.587
2017,16192656,2017-08-07,100000.0,po.588
2017,16192656,2017-05-29,480000.0,po.589
2017,16192656,2017-05-24,5000.0,po.590
2017,16192656,2017-10-16,350000.0,po.591
2017,16192656,2017-08-25,10000.0,po.592
2017,16192656,2017-06-11,10000.0,po.593
2017,16192656,2017-09-04,0.0,po.594
2017,16192656,2017-08-08,50000.0,po.595
2017,16192656,2017-04-05,10000.0,po.596
2017,16192656,2017-08-09,25000.0,po.597
2017,16192656,2017-08-17,0.0,po.597
2017,16192656,2017-01-19,0.0,po.599
2017,16192656,2017-06-14,50000.0,po.600
2017,16192656,2017-08-09,15000.0,po.601
2017,16192656,2017-09-04,0.0,po.602
2017,16192656,2017-08-25,0.0,po.603
2017,16192656,2017-10-02,0.0,po.604
2017,16192656,2017-09-21,3000.0,po.605
2017,16192656,2017-10-04,0.0,po.606
2017,16192656,2017-01-19,0.0,po.607
2017,16192656,2017-06-13,30000.0,po.608
2017,16192656,2017-06-09,50000.0,po.609
2017,16192656,2017-04-19,3000000.0,po.610
2017,16192656,2017-11-27,40000.0,po.611
2017,16192656,2017-06-02,0.0,po.612
2017,16192656,2017-06-02,0.0,po.612
2017,16192656,2017-09-21,0.0,po.614
2017,16192656,2017-05-15,15000.0,po.615
2017,16192656,2017-07-12,20000.0,po.616
2017,16192656,2017-10-13,0.0,po.617
2017,16192656,2017-07-25,150000.0,po.618
2017,16192656,2017-08-15,200000.0,po.619
2017,16192656,2017-09-21,0.0,po.620
2017,16192656,2017-10-02,20000.0,po.621
2017,16192656,2017-07-11,5000.0,po.622
2017,16192656,2017-06-06,200000.0,po.623
2017,16192656,2017-05-19,360000.0,po.624
2017,16192656,2017-09-26,30000.0,po.625
2017,16192656,2017-10-12,0.0,po.626
2017,16192656,2017-09-01,10000.0,po.627
2017,16192656,2017-07-03,40000.0,po.628
2017,16192656,2017-07-14,5000.0,po.629
2017,16192656,2017-10-09,250000.0,po.630
2017,16192656,2017-09-22,3000.0,po.631
2017,16192656,2017-09-05,50000.0,po.632
2017,16192656,2017-01-13,11000.0,po.633
2017,16192656,2017-10-03,0.0,po.634
2017,16192656,2017-08-17,0.0,po.635
2017,16192656,2017-07-25,20000.0,po.636
2017,16192656,2017-05-25,100000.0,po.637
2017,16192656,2017-06-13,10000.0,po.638
2017,16192656,2017-07-03,50000.0,po.639
2017,16192656,2017-05-24,50000.0,po.640
2017,16192656,2017-09-26,0.0,po.641
2017,16192656,2017-09-13,100000.0,po.642
2017,16192656,2017-10-30,3000.0,po.643
2017,16192656,2017-08-30,0.0,po.644
2017,16192656,2017-10-10,250000.0,po.645
2017,3099598,,,po.6
2017,71443517,,,po.6
2017,6118658,2017-11-13,3000.0,po.648
2017,6118658,2017-06-08,400.0,po.649
2017,6118658,2017-12-31,20000.0,po.650
2017,3221083,,,po.6
2017,71443215,,,po.6
2017,71443410,,,po.6
2017,71443681,2017-12-16,30000.0,po.654
2017,3080935,,,po.6
2017,71339698,,500.0,po.656
2017,71339698,2017-10-13,0.0,po.408
2017,71339698,2017-10-10,0.0,po.408
2017,71339698,,1166.0,po.659
2017,71339698,,1001.0,po.660
2017,71339698,2017-10-02,0.0,po.661
2017,71339698,2017-09-19,0.0,po.662
2017,71339698,,5000.0,po.663
2017,71339698,,9000.0,po.664
2017,71339698,,2000.0,po.665
2017,71339698,2017-09-19,0.0,po.666
2017,71339698,2017-07-23,0.0,po.667
2017,71339698,2017-09-25,0.0,po.668
2017,71339698,2017-09-25,0.0,po.669
2017,71339698,2017-06-08,0.0,po.670
2017,71339698,2017-07-25,0.0,po.671
2017,71339698,2017-09-25,0.0,po.672
2017,71339698,2017-09-25,0.0,po.673
2017,71339698,2017-09-24,0.0,po.674
2017,71339698,2017-10-07,0.0,po.675
2017,71339698,,5000.0,po.676
2017,71339698,,40000.0,po.677
2017,71339698,2017-09-07,0.0,po.678
