year,ic,job,number
2022,00496936,hospodářský pracovník/pracovnice,32.0
2022,03152952,,
2022,71339582,,
2022,49628089,,
2022,17177782,,
2022,07157029,,
2022,26598647,,
2022,03254747,,
2022,44266740,generální sekretář,1.0
2022,60556625,,
2022,17187087,,
2022,17334799,,
2022,07027761,,
2022,07286210,,
2022,07312946,,
2022,71443452,,
2022,69345473,,
2022,17333709,,
2022,09340718,,
2022,11677309,,
2022,60458399,,
2022,71339779,,
2022,27034500,,
2022,71443649,,
2022,27053024,,
2022,03219208,,
2022,71443584,,
2022,03174697,,
2022,03016242,,
2022,26668980,,
2022,17133742,,
2022,16192656,Analytické a PR práce,17.0
2022,16192656,Účetní a ekonomické práce,10.0
2022,16192656,Administrativní práce,5.0
2022,16192656,Technické a provozní práce,8.0
2022,16192656,Vedoucí zaměstnanci,5.0
2022,14212129,,
2022,06860176,,
2022,03099598,,
2022,71443517,,
2022,03221083,administrativní činnost,1.0
2022,71443215,administrativní práce,1.0
2022,09363149,,
2022,17239800,,
2022,03080935,,
2022,71339698,Mediální služby,7.0
2022,71339698,Úklid,3.0
2022,71339698,Korektor textů,2.0
2022,71339698,Administrativní práce,4.0
2022,71339698,Mediace a koordinace,6.0
2022,71339698,Expertizy a analýzy,3.0
2022,71339698,Roznos letáků a další volební výpomoc,10.0
2022,08960909,,
2022,14356813,Příprava a korekce textů a materiálů,1.0
2022,71443550,,
2022,17085438,,
2022,02885573,,
2022,07283652,,
2022,01870360,,
2022,03204669,Administrativní,1.0
2022,10742409,"Marketingový specialista, grafik, fotograf a kameraman",1.0
2022,10742409,Hlavní pokladník a nákupčí,1.0
2022,10742409,Správa sociálních sítí,1.0
2022,27038131,,
2022,03091805,,
2022,03254763,,
2022,17254353,,
2022,71443380,,
2022,26595940,administrativa (05-09/2022),1.0
2022,27026922,,
2022,06695205,,
2022,09607684,,
2022,71443347,,
2022,17313155,,
2022,71339485,,
2022,10997113,,
2022,07218443,,
2022,71339990,,
2022,70869553,,
2022,05081068,,
2022,00409171,Organizační práce v území,10.0
2022,00409171,Organizační práce v ústředí,3.0
2022,00409171,THP práce,10.0
2022,00409171,Ústřední tajemník,1.0
2022,00409171,Archivář,1.0
2022,00409171,Předseda,1.0
2022,03116603,,
2022,71339655,,
2022,03217116,,
2022,07118317,,
2022,03221199,,
2022,71339752,administrativa,1.0
2022,71339922,,
2022,17335191,,
2022,17084997,,
2022,26673908,Právník,1.0
2022,26673908,Administrativní pracovník (přepočteno na FTE a zaokrouhleno),2.0
2022,71443444,,
2022,71340009,,
2022,71339612,administrativní práce,1.0
2022,17212596,,
2022,03251501,,
2022,71443177,,
2022,26582406,"Manažerské práce v senátní kampani MUDr. Marka Slabého - 68 hod., DPP",1.0
2022,03143848,,
2022,71339728,generální sekretář,1.0
2022,71339728,tiskový mluvčí,1.0
2022,71339728,asistent,2.0
2022,71339728,analytik,2.0
2022,02749947,,
2022,08288909,administrativní činnost,1.0
2022,08288909,copywriting,1.0
2022,08288909,organizační činnost,1.0
2022,07986858,,
2022,02790840,,
2022,68954263,,
2022,07195389,,
2022,71443355,Činnost tajemníka politického hnutí Východočeši,1.0
2022,71339892,,
2022,04616421,,
2022,71339817,,
2022,68210396,,
2022,27040097,,
2022,07324758,,
2022,04997808,,
2022,03247686,,
2022,08773297,,
2022,00409740,,
2022,68684011,,
2022,07156871,,
2022,71443363,,
2022,17263581,,
2022,17213754,,
2022,71443401,,
2022,71339850,,
2022,07202059,,
2022,03136922,,
2023,17262984,,
2023,05402450,,
2023,14369664,,
2023,04627695,,
2023,71443339,Krajský manažer,14.0
2023,71443339,PR specialita,2.0
2023,71443339,Asistent,3.0
2023,71443339,Specialista vnitřní legislativy,1.0
2023,71443339,Office manažer,1.0
2023,71443339,Fotograf,1.0
2023,71443339,Řidič,1.0
2023,71443274,,
2023,07289731,,
2023,05989175,,
2023,14179792,,
2023,26587840,,
2023,05103487,,
2023,09182004,Administrativní činnost,1.0
2023,14334887,,
2023,05754577,,
2023,03094553,,
2023,00442721,,
2023,71443207,,
2023,71443240,,
2023,07972733,,
2023,09977023,,
2023,71443142,,
2023,04997841,,
2023,10954899,,
2023,03204723,,
2023,02674831,,
2023,17280583,,
2023,07921331,,
2023,19946368,,
2023,71443185,,
2023,68321457,,
2023,03174531,,
2023,27039145,,
2023,17331722,,
2023,09233229,,
2023,14290910,,
2023,21005826,,
2023,71443312,,
2023,02733552,,
2023,04889321,,
2023,71339965,,
2023,00442704,Generální sekretář,1.0
2023,00442704,Asistent,3.0
2023,00442704,Tiskový mluvčí,1.0
2023,00442704,Mediální asistent,1.0
2023,00442704,Zahraniční tajemník,1.0
2023,00442704,Personalista a účetní,4.0
2023,00442704,Informatik,2.0
2023,00442704,Technická správa,8.0
2023,00442704,Krajský manažer,14.0
2023,00442704,Organizační pracovník,3.0
2023,00442704,Koordinátor tiskového úseku,1.0
2023,00442704,Volební manažer,1.0
2023,17095107,,
2023,07196989,,
2023,27034321,,
2023,15271960,,
2023,71339973,,
2023,00496936,politický pracovník/pracovnice,102.0
2023,00496936,odborný pracovník/pracovnice,77.0
2023,00496936,hospodářský pracovník/pracovnice,12.0
2023,03152952,,
2023,71339582,,
2023,01963384,,
2023,71443606,,
2023,49628089,"Konzultace a zajišťování PR výstupů, marketingové konzultace",1.0
2023,07157029,,
2023,68455941,Dohoda o provedení práce - administrativní práce,1.0
2023,03254747,,
2023,60556625,,
2023,17187087,,
2023,17334799,,
2023,07027761,,
2023,07286210,,
2023,07312946,,
2023,69345473,,
2023,17333709,,
2023,09340718,,
