date_year,party_key,job_key,job_count
2019-01-01,71443215,13.0,1.0
2019-01-01,71443410,,
2019-01-01,71443681,,
2019-01-01,3080935,,
2019-01-01,71339698,2.0,17.0
2019-01-01,71339698,154.0,2.0
2019-01-01,3170624,,
2019-01-01,71443550,,
2019-01-01,2885573,,
2019-01-01,7283652,,
2019-01-01,4756339,,
2019-01-01,3204669,1.0,1.0
2019-01-01,71339809,,
2019-01-01,27038131,,
2019-01-01,3091805,,
2019-01-01,3254763,,
2019-01-01,71443380,,
2019-01-01,26595940,,
2019-01-01,27026922,,
2019-01-01,6695205,,
2019-01-01,71339485,,
2019-01-01,7218443,,
2019-01-01,71339990,,
2019-01-01,70869553,,
2019-01-01,5081068,,
2019-01-01,409171,95.0,53.0
2019-01-01,409171,93.0,11.0
2019-01-01,409171,146.0,1.0
2019-01-01,409171,145.0,7.0
2019-01-01,409171,104.0,1.0
2019-01-01,409171,26.0,2.0
2019-01-01,409171,151.0,3.0
2019-01-01,409171,156.0,1.0
2019-01-01,3116603,,
2019-01-01,71339655,,
2019-01-01,3217116,,
2019-01-01,7118317,1.0,1.0
2019-01-01,3221199,,
2019-01-01,71339752,8.0,3.0
2019-01-01,71339922,,
2019-01-01,26673908,15.0,1.0
2019-01-01,71443444,,
2019-01-01,71340009,,
2019-01-01,71339612,,
2019-01-01,3251501,,
2019-01-01,26582406,,
2019-01-01,12345678,,
2019-01-01,3143848,,
2019-01-01,71339728,54.0,1.0
2019-01-01,71339728,148.0,1.0
2019-01-01,71339728,28.0,2.0
2019-01-01,71339728,103.0,8.0
2019-01-01,2749947,,
2019-01-01,8288909,11.0,1.0
2019-01-01,7986858,,
2019-01-01,2790840,,
2019-01-01,6335233,,
2019-01-01,68954263,,
2019-01-01,7195389,,
2019-01-01,71443355,99.0,1.0
2019-01-01,7301600,39.0,4.0
2019-01-01,71339892,,
2019-01-01,4616421,,
2019-01-01,71339817,,
2019-01-01,68210396,,
2019-01-01,27040097,,
2019-01-01,4997808,,
2019-01-01,3247686,,
2019-01-01,71340084,,
2019-01-01,409740,140.0,1.0
2019-01-01,68684011,,
2019-01-01,7156871,,
2019-01-01,71443363,123.0,1.0
2019-01-01,4756291,,
2019-01-01,71339850,38.0,1.0
2019-01-01,7202059,,
2019-01-01,3136922,,
2020-01-01,5402450,,
2020-01-01,4627695,,
2020-01-01,9227041,155.0,1.0
2020-01-01,71443274,,
2020-01-01,7289731,,
2020-01-01,5989175,,
2020-01-01,6048099,158.0,1.0
2020-01-01,26587840,,
2020-01-01,7204752,,
2020-01-01,5103487,,
2020-01-01,9182004,,
2020-01-01,5754577,,
2020-01-01,71443428,,
2020-01-01,7290853,,
2020-01-01,3094553,,
2020-01-01,442721,,
2020-01-01,27015904,,
2020-01-01,71443207,,
2020-01-01,71443240,,
2020-01-01,7972733,,
2020-01-01,7307977,,
2020-01-01,4997841,,
2020-01-01,5391628,,
2020-01-01,3168786,,
2020-01-01,3204723,,
2020-01-01,2674831,,
2020-01-01,7921331,,
2020-01-01,71443185,,
2020-01-01,68321457,,
2020-01-01,3174531,,
2020-01-01,27039145,,
2020-01-01,9233229,,
2020-01-01,26600218,,
2020-01-01,71443312,47.0,1.0
2020-01-01,2733552,,
2020-01-01,4889321,,
2020-01-01,71339965,,
2020-01-01,442704,55.0,1.0
2020-01-01,442704,27.0,2.0
2020-01-01,442704,147.0,1.0
2020-01-01,442704,84.0,1.0
2020-01-01,442704,164.0,1.0
2020-01-01,442704,98.0,4.0
2020-01-01,442704,64.0,2.0
2020-01-01,442704,24.0,1.0
2020-01-01,442704,141.0,8.0
2020-01-01,442704,77.0,17.0
2020-01-01,442704,68.0,1.0
2020-01-01,442704,161.0,1.0
2020-01-01,7196989,,
2020-01-01,27034321,,
2020-01-01,15271960,,
2020-01-01,71339973,,
2020-01-01,496936,102.0,124.0
2020-01-01,496936,90.0,75.0
2020-01-01,496936,61.0,49.0
2020-01-01,3152952,,
2020-01-01,71339582,,
2020-01-01,71443606,44.0,1.0
2020-01-01,49628089,,
2020-01-01,60456400,,
